Manufacturer,Model,Variant,TOTAL,2005,2004,2003,2002,2001,2000,1999,1998,TOTAL,1997,1996,1995,1994,1993,1992,1991,Pre-1991,Umbral,
Min_Smin_Audi,A2,All,75,5,3,13,16,32,6,0,0,75,0,0,0,0,0,0,0,0,No,
Min_Smin_Austin/Morris,Metro,City,322,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,322,Si,
Min_Smin_Austin/Morris,Metro,L& LE,306,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,306,Si,
Min_Smin_Austin/Morris,Metro,MG,57,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,57,No,
Min_Smin_Austin/Morris,Metro,Other,224,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,224,Si,
Min_Smin_Austin/Morris,Mini,All,234,0,0,0,0,0,0,0,0,234,0,0,0,0,2,0,0,232,Si,
Min_Smin_Austin/Morris,Minor,All,72,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,72,No,
Min_Smin_BMW,Mini,All,768,93,222,227,170,56,0,0,0,768,0,0,0,0,0,0,0,0,Si,
Min_Smin_Chevrolet,Kalos,All,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,No,
Min_Smin_Chevrolet,Matiz,All,9,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,No,
Min_Smin_Citroen,2 CV,All,33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,No,
Min_Smin_Citroen,AX,All,624,0,0,0,0,0,0,0,0,624,10,83,110,85,120,62,61,93,Si,
Min_Smin_Citroen,C2,All,66,3,55,8,0,0,0,0,0,66,0,0,0,0,0,0,0,0,No,
Min_Smin_Citroen,C3,All,138,19,29,67,23,0,0,0,0,138,0,0,0,0,0,0,0,0,Si,
Min_Smin_Citroen,Dyane& LNA& AMI& Visa,All,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,No,
Min_Smin_Citroen,Saxo,All,1152,0,2,57,130,168,179,211,221,1152,155,29,0,0,0,0,0,0,Si,
Min_Smin_Daewoo,Kalos,All,12,0,7,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,No,
Min_Smin_Daewoo,Matiz,All,157,2,8,12,16,29,44,36,10,157,0,0,0,0,0,0,0,0,Si,
Min_Smin_Daihatsu,Charade& Domino& Mira,All,77,0,2,0,0,0,2,0,0,77,2,6,2,9,9,16,5,24,No,
